index,Continent,Country,City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
84,Africa,Zambia,Livingstone,213.9,196.0,251.1,273.0,303.8,288.0,310.0,319.3,297.0,279.0,228.0,207.7,3166.8
85,Africa,Zimbabwe,Harare,217.0,190.4,232.5,249.0,269.7,264.0,279.0,300.7,294.0,285.2,231.0,198.4,3010.9
86,Africa,Zimbabwe,Bulawayo,244.9,212.8,251.1,252.0,279.0,267.0,288.3,300.7,288.0,272.8,237.0,226.3,3119.9
87,Africa,Malawi,Karonga,176.7,170.8,207.7,222.0,254.2,264.0,285.2,306.9,306.0,319.3,273.0,213.9,2999.7
88,Africa,Malawi,Blantyre,198.4,182.0,217.0,237.0,260.4,237.0,232.3,260.4,270.0,275.9,228.0,198.4,2797.0
89,Africa,Malawi,Mzuzu,145.7,142.1,164.3,171.0,217.0,219.0,238.5,275.9,288.0,300.7,252.0,176.7,2590.9
90,Africa,Madagascar,Fianarantsoa,191.1,171.0,175.4,184.8,186.0,165.9,163.5,191.1,220.5,230.4,208.0,190.1,2277.8
91,Africa,Madagascar,Toamasina,224.7,198.2,191.0,196.9,192.1,162.5,162.8,184.6,209.7,232.7,236.0,219.2,2410.4
92,Africa,Madagascar,Antananarivo,210.5,178.0,199.1,220.5,228.8,206.1,213.9,235.0,249.5,251.0,232.7,201.1,2626.2
93,Africa,Madagascar,Antsiranana,189.2,170.0,214.9,256.4,284.8,256.5,273.1,283.6,293.3,306.8,281.5,228.9,3039.0
94,Africa,Madagascar,Mahajanga,209.0,184.9,244.8,269.9,294.9,282.9,291.5,303.1,307.0,319.7,288.2,227.3,3223.2
95,Africa,Madagascar,Toliara,305.0,285.0,296.0,302.0,306.0,277.0,291.0,298.0,307.0,324.0,313.0,306.0,3610.0
96,Africa,Mozambique,Maputo,248.0,226.0,248.0,240.0,248.0,240.0,248.0,248.0,248.0,217.0,210.0,217.0,2838.0
97,Africa,Central African Republic,Bangui,217.0,196.0,186.0,180.0,186.0,180.0,124.0,124.0,150.0,155.0,180.0,217.0,2095.0
98,Africa,Central African Republic,Birao,289.6,275.0,270.6,248.1,255.7,216.9,190.7,186.5,210.0,267.2,290.3,297.4,2998.0
99,Africa,Uganda,Kampala,238.0,193.0,189.0,195.0,187.0,189.0,139.0,168.0,157.0,172.0,178.0,205.0,2210.0
